yearTesting,studyName,trial,loc,geno,yearCloning,rep,block,plotnumber,entryType,fyld,design
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,IITA-TMS-IBA980581,1998,2,2,2027,check,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,IITA-TMS-IBA982101,1998,2,2,2033,check,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMEB419,0,2,2,2008,check,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1020P0001,2013,2,2,2002,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1053P0009,2013,2,2,2007,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1053P0010,2013,2,2,2006,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1053P0015,2013,2,2,2009,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1063P0013,2013,2,2,2032,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1069P0024,2013,2,2,2004,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1088P0007,2013,2,2,2012,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1095P0011,2013,2,2,2034,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1122P0005,2013,2,2,2028,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1124P0004,2013,2,2,2025,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1126P0006,2013,2,2,2019,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1153P0001,2013,2,2,2011,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1160P0004,2013,2,2,2029,test,NA,RCBD
2016,16.GS.C1.UYT.34.IK,UYT,Ikenne,TMS13F1176P0002,2013,2,2,2023,test,NA,RCBD
